,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Case Number.1,Case Number.2,Month
1530,2005-11-12,2005.0,Unprovoked,USA,Florida,"New Smyrna  Beach, Volusia County",Surfing,M,18,Puncture wounds to right foot,N,13h00,6' shark,2005-11-12,2005-11-12,November
1531,2005-11-02,2005.0,Unprovoked,USA,California,"Mavericks, Half Moon Bay, San Mateo County",Surfing,M,25,"No injury, board bitten",N,16h45,,,,November
1532,2005-11-02,2005.0,Unprovoked,USA,California,"Ocean Beach, San Francisco, San Francisco County",Surfing,M,26,"No injury, board bumped",N,07h15,12' to 14' white shark,,,November
1533,2005-10-29,2005.0,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County ",Wading,M,15,Puncture wounds to foot,N,,2' to 3' shark,2005-10-29,2005-10-29,October
1534,2005-10-25,2005.0,Unprovoked,ST. MAARTIN,Simpson Bay,Sunterra Beach,Standing,M,55,Lower right leg lacerated,N,08h00,2' shark,2005-10-25,2005-10-25,October
1535,2005-10-22,2005.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Uilenkraalsmond (near Gansbaai),Standing / Surfing,M,20,Right foot bitten,N,Morning,3 m shark,2005-10-22,2005-10-22,October
1536,2005-10-21,2005.0,Unprovoked,USA,California,"Klamath River mouth, Del Norte County",Surfing,M,36,No injury,N,11h00,White shark,2005-10-21,2005-10-21,October
1537,2005-10-19,2005.0,Unprovoked,USA,California,"Salmon Beach, Sonoma County",Surfing,F,20,Leg bitten,N,10h30,18' white shark,2005-10-19,2005-10-19,October
1538,2005-10-15,2005.0,Provoked,USA,Florida,"Ponce Inlet, Volusia County",Wading,M,15,Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT,N,17h55,,2005-10-15,2005-10-15,October
1539,2005-10-13,2005.0,Unprovoked,USA,Hawaii,"Honokowai, Maui",Surfing,M,22,"No injury, surfboard bitten",N,18h00,"Tiger shark, less than 10'",2005-10-13,2005-10-13,October
1540,2005-10-11,2005.0,Unprovoked,GRAND CAYMAN,East Wall,Jack McKenney's Canyon,Scuba diving,F,57,No injury ,N,15h00,Caribbean reef sharks,2005-10-11,2005-10-11,October
1541,2005-10-06,2005.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Treading water/ Surfing,M,48,Five 1-inch lacerations to left foot,N,16h05,,2005-10-06,2005-10-06,October
1542,2005-10-03,2005.0,Unprovoked,BAHAMAS,Abaco Islands,Grand Cay,Diving,M,35,Lacerations to right side of face,N,,,2005-10-03,2005-10-03,October
1543,2005-10-01,2005.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sunny Cove, Fish Hoek",Surf-skiing,M,52,"No injury, shark bit ski",N,15h00,White shark,2005-10-01,2005-10-01,October
1544,,2005.0,Unprovoked,AUSTRALIA,New South Wales,Arakoon's Little Bay,Surfing,M,28,"No injury, knocked off board",N,,"Tiger shark, 3 m ",,,
1545,2005-09-24,2005.0,Unprovoked,AUSTRALIA,South Australia,Kangaroo Island,Surfing,M,26,Lacerations to legs,N,12h05,14' to 16' white shark,2005-09-24,2005-09-24,September
1546,2005-09-23,2005.0,Unprovoked,AUSTRALIA,Western Australia,"Scarborough Beach, Perth",Surfing,M,44, No injury,N,Morning,Bronze whaler shark,2005-09-23,2005-09-23,September
1547,2005-09-22,2005.0,Invalid,USA,Florida,"Tigertail Beach, Collier County",Surfing,M,,Lacerations to dorsum of left foot,,07h30,Shark involvement not confirmed,2005-09-22,2005-09-22,September
1548,2005-09-20,2005.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Body surfing,F,68,"Injuries to fingers, calf  & heel",N,16h30,3' to 4' shark,2005-09-20,2005-09-20,September
1549,2005-09-11,2005.0,Unprovoked,USA,South Carolina,Folly Beach,Surfing,M,18,FATAL,Y,14h00,,2005-09-11,2005-09-11,September
1550,2005-09-07,2005.0,Unprovoked,AUSTRALIA,New South Wales,"Park Beach, Coff's Harbour",Standing,M,15,Left foot & ankle lacerated,N,Dusk,,2005-09-07,2005-09-07,September
1551,2005-09-05,2005.0,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Wading,F,18,Calf severely lacerated,N,15h20,Bull shark,2005-09-05,2005-09-05,September
1552,2005-09-04,2005.0,Unprovoked,AUSTRALIA,South Australia,"Fishery Bay, Eyre Peninsula",Surfing,M,40,Lacerations to right arm & thigh,N,15h00,4 m [13'] white shark,,,September
1553,2005-09-02,2005.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Standing / Surfing,M,62,Right foot bitten,N,11h10,,,,September
1554,2005-09-02,2005.0,Provoked,THAILAND,,On deck of fishing trawler 100 nautical miles offshore,Removing shark from net,M,21,FATAL PROVOKED INCIDENT,Y,,"2 m [6.75'] shark, 200-kg shark T",,,September
1555,2005-08-24,2005.0,Unprovoked,AUSTRALIA,South Australia,Glenelg ,Scuba diving,M,23,FATAL,Y,16h10,White shark,,,August
1556,2005-08-24,2005.0,Unprovoked,USA,California,"Scripps, LaJolla, San Diego County",Surfing,M,37,Lower right leg lacerated,N,11h00,juvenile white shark,,,August
1557,2005-08-22,2005.0,Invalid,USA,South Carolina,"6th Avenue North, Myrtle Beach, Horry County","Boogie boarding, kicked at object in the water",M,17,"Laceration to knee, possibly by a  small blacktip shark",,Afternoon,Shark involvement not confirmed,2005-08-22,2005-08-22,August
1558,2005-08-21,2005.0,Unprovoked,USA,South Carolina,"34th Avenue North, Myrtle Beach, Horry County",Swimming,M,8,Bitten underneath left arm,N,Morning,Possibly a sandbar shark or small blacktip shark,2005-08-21,2005-08-21,August
1559,2005-08-19,2005.0,Unprovoked,USA,Texas,Crystal Beach (east of Galveston),Walking,M,12,Left foot bitten,N,20h00,,2005-08-19,2005-08-19,August
1560,2005-08-14,2005.0,Invalid,SOUTH AFRICA,Western Cape Province,"Milnerton Lagoon, Cape Town",,,,Human foot recovered from the water,,,Shark involvement prior to death was not confirmed,2005-08-14,2005-08-14,August
1561,2005-08-12,2005.0,Unprovoked,USA,North Carolina,"Carolina Beach off Texas Avenue, New Hanover County",Surfing,M,16,Laceration on right wrist & crescent of puncture wounds on  forearm ,N,11h30,1.8 m [6'] shark,2005-08-12,2005-08-12,August
1562,2005-08-06,2005.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,14,Puncture wounds on left foot ,N,09h45,,2005-08-06,2005-08-06,August
1563,2005-08-01,2005.0,Invalid,Seychelles,Inner Islands,Off North Island,Fishing,M,,"FATAL, shark involvement prior to death is unconfirmed",,,Invalid,2005-08-01,2005-08-01,August
1564,2005-07-27,2005.0,Unprovoked,USA,Florida,"Off Zelda Boulevard, Daytona Beach, Volusia Countyy",Wading,F,13,Laceration on the back of left hand & toothmarks on wrist,N,18h00,,2005-07-27,2005-07-27,July
1565,2005-07-23,2005.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,61,"Right foot: Toes and back of foot, minor injury",N,11h30,,2005-07-23,2005-07-23,July
1566,2005-07-22,2005.0,Invalid,USA,Florida,"Quarter mile south of Ponce de Leon Inlet, Volusia County",Surfing,M,25,"Straight 2.5"" laceration on top of left ankle",,11h15,Shark involvement not confirmed,2005-07-22,2005-07-22,July
1567,2005-07-17,2005.0,Invalid,LIBERIA,,,Swimming,M,,Presumed to have drowned until his body washed ashore 2 weeks later with shark bites,,,Shark involvement prior to death was not confirmed,,,July
1568,2005-07-17,2005.0,Provoked,CHINA,Shanghai,"Ocean World, Changfeng Park",Scuba diving in aquarium tank,M,24,2 small cuts on right ear & head when he collided with the captive shark. PROVOKED INCIDENT,N,,3.5 m [11.5']shark,,,July
1569,,2005.0,Invalid,AUSTRALIA,,,,,,"A hoax - No shark was involved and Wells' ""daughter"" was his business partner Eileen Purchase who injured her finger on his boat",,,No shark involvement,,,
1570,2005-07-15,2005.0,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",Swimming,M,22,Lacerations of left forearm,N,16h40,[4.5' to 5'] shark,2005-07-15,2005-07-15,July
1571,2005-07-13,2005.0,Unprovoked,USA,Texas,"Port Bolivar, Galveston County",Holding onto an inflatable boat,F,14,Left foot bitten,N,13h00,[4' to 5'],2005-07-13,2005-07-13,July
1572,2005-07-01,2005.0,Unprovoked,USA,Florida,"Boca Grande, Lee County",Standing,M,19,Ankle bitten,N,11h30,,2005-07-01,2005-07-01,July
1573,2005-06-27,2005.0,Unprovoked,USA,Florida,"Cape San Blas, Gulf County",Fishing,M,16,"Leg severely bitten, surgically amputated",N,11h30,Bull shark,2005-06-27,2005-06-27,June
1574,2005-06-25,2005.0,Unprovoked,USA,Florida,"Destin, Walton County",Swimming with boogie board,F,14,"FATAL, leg bitten",Y,11h15,1.8 m [6'] bull shark,2005-06-25,2005-06-25,June
1575,2005-06-22,2005.0,Unprovoked,VANUATU,Malampa Province,Atchin Island off Malakula,Swimming,F,7,FATAL,Y,Afternoon,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha",2005-06-22,2005-06-22,June
1576,2005-06-20,2005.0,Unprovoked,MEXICO ,Baja California,San Luis beach,Surfing,M,,Left foot bitten,N,07h00,,2005-06-21,2005-06-21,June
1577,2005-06-18,2005.0,Invalid,USA,Hawaii,Maui,Swimming,M,49,"No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",,08h00,Invalid,2005-06-18,2005-06-18,June
1578,2005-06-16,2005.0,Unprovoked,USA,Florida,"Howard E. Futch Memorial Park at Paradise Beach, Brevard County",Swimming,M,20,Foot bitten,N,Afternoon,"Unknown, but it was reported that a shark tooth was recovered from the wound",2005-06-16,2005-06-16,June
1579,2005-06-13,2005.0,Unprovoked,SOUTH KOREA,South Ch'ungch'ong Province,Dando/Kaeui Island ,Diving,F,38,Knee bitten,N,,3 m [10'] white shark,2005-06-13,2005-06-13,June
1580,2005-06-07,2005.0,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Boogie boarding,F,11,Foot lacerated,N,11h30 ,,2005-06-07,2005-06-07,June
1581,2005-06-05,2005.0,Invalid,USA,New Jersey,"Surf City, Long Beach Island, Ocean County",Surfing,M,17,Dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.,,11h00,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident",2005-06-05,2005-06-05,June
1582,2005-06-04,2005.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Miller's Point,Spearfishing (Free diving),M,22,FATAL,Y,15h45,White shark,2005-06-04,2005-06-04,June
1583,2005-06-02,2005.0,Unprovoked,USA,Texas,"Mustang Island, Corpus Christi",Wading,M,6,Two 2-inch lacerations on right foot,N,Morning,,2005-06-02,2005-06-02,June
1584,2005-05-28,2005.0,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,33,Left foot bitten,N,17h30,"""small shark""",2005-05-28,2005-05-28,May
1585,2005-05-27,2005.0,Unprovoked,USA,Florida,"Sand Key Beach, Clearwater, Pinellas County",Crouching in 2' of water,F,,Right arm & torso bitten,N,18h30,"18"" to 36"" shark",2005-05-27,2005-05-27,May
1586,2005-05-25,2005.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Surfing,M,32,Left buttock  & legs lacerated ,N,11h00,Raggedtooth shark,2005-05-25,2005-05-25,May
1587,2005-05-15,2005.0,Unprovoked,AUSTRALIA,Queensland,50 km east of Townsville,Spearfishing,M,,Severe injury to lower leg,N,,Blacktip shark,2005-05-15,2005-05-15,May
1588,2005-05-14,2005.0,Boating,USA,Hawaii,"North Kihei, Maui",Kayaking,,,"No injury, shark bit kayak",N,11h00,"Tiger shark, 8' to 9' ",2005-05-14,2005-05-14,May
1589,2005-05-03,2005.0,Unprovoked,MADAGASCAR,,,Fishing,M,,Thigh bitten,N,,2.5 m shark,2005-05-03,2005-05-03,May
1590,2005-05-02,2005.0,Sea Disaster,USA,South Carolina,Off Sullivans Island,Sea Disaster,M,Teens,No injury,N,,,,,May
1591,2005-05-02,2005.0,Unprovoked,USA,Hawaii,"Noreiga's, Maui",Surfing,M,47,"No injury, board damaged",N,10h30,"Tiger shark, 3 m [10']",2005-05-02,2005-05-02,May
1592,2005-04-25,2005.0,Provoked,AUSTRALIA,New South Wales,Bermagui,Fishing,M,25,Laceration on left thigh PROVOKED INCIDENT,N,23h00,"Mako shark, 1.5 m [5'] ",2005-04-25,2005-04-25,April
1593,2005-04-17,2005.0,Unprovoked,AUSTRALIA,New South Wales,Crookhaven,,,,Shark-bitten surfboard found adrift,N,,,,,April
1594,2005-04-16,2005.0,Unprovoked,AUSTRALIA,Northern Territory,Bremer Island,Spearfishing,M,20,Minor cuts above his right eye,N,,2 m [6.75'] copper shark,,,April
1595,2005-04-16,2005.0,Unprovoked,AUSTRALIA,New South Wales,Bronte Beach,Surfing,M,40,"No injury, board bitten",N,06h10,Bronze whaler shark,,,April
1596,2005-04-13,2005.0,Unprovoked,USA,Florida,"Crescent Beach, Sarasota County",Wading,F,70,Right lower leg bitten,N,,1.8 m [6'] blacktip shark,2005-04-13,2005-04-13,April
1597,2005-04-09,2005.0,Invalid,USA,Florida,"Central Gulf Coast, St. John County",Surfing,M,52,Foot injured ,,,Shark involvement not confirmed,2005-04-09,2005-04-09,April
1598,2005-04-07,2005.0,Unprovoked,USA,Texas,"Isla Blanca Park, South Padre Island, Cameron County",Surfing,M,37,Left foot bitten ,N,19h00,,2005-04-07,2005-04-07,April
1599,2005-04-06,2005.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,F,,Left calf injured,N,,small hammerhead shark,2005-04-06,2005-04-06,April
1600,2005-04-06,2005.0,Invalid,HONDURAS,Bay Islands,Utila,SCUBA Diving,F,,"Laceration on siide of calf, small laceration on thigh, large bruise on other leg inside the knee, knuckle of hand abraded",,,Shark involvement not confirmed,2005-04-06,2005-04-06,April
1601,2005-03-28,2005.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Noordhoek,Surfing,M,32,"Lacerations to right calf, puncture wounds on right foot",N,09h45,4 m [13'] shark,2005-03-28,2005-03-28,March
1602,,2005.0,Unprovoked,AUSTRALIA,New South Wales,,Surfing,M,,"No injury, shark rammed surfboard",N,,,,,
1603,2005-03-25,2005.0,Unprovoked,VENEZUELA,,Punta Caracas,Surfing,M,,Right leg bitten,N,17h30,,2005-03-25,2005-03-25,March
1604,2005-03-19,2005.0,Unprovoked,AUSTRALIA,Western Australia,"Wreck Point, Abrolhos Islands",Snorkeling,M,26,FATAL,Y,14h00,6 m [20'] white shark,2005-03-19,2005-03-19,March
1605,2005-03-12,2005.0,Provoked,USA,New Mexico,"Albuquerue Aquarium, Albuquerue",Diving in aquarium display tank,M,45,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N,15h30,"Sandtiger shark, 2.1 m [7'] ",2005-03-12,2005-03-12,March
1606,2005-03-10,2005.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Isipingo,,M,51,Bites by 2.5 m tiger shark were post mortem,,,Invalid,2005-03-10,2005-03-10,March
1607,2005-03-09,2005.0,Provoked,NEW ZEALAND,North Island,"Waiapu River mouth , East Cape",Fishing,M,,"No injury, netted shark dragged them 350 metres out to sea PROVOKED INCIDENT",N,14h00,"Bronze whaler shark, 4.3 m [14'] ",2005-03-09,2005-03-09,March
1608,2005-03-05,2005.0,Unprovoked,SOLOMON ISLANDS,Santa Isabel Province,,Diving,M,,Thighs bitten,N,,,2005-03-05,2005-03-05,March
1609,2005-02-26,2005.0,Unprovoked,AUSTRALIA,Queensland,Brisbane River,Swimming,M,18,Finger bitten,N,,Bull shark,2005-02-26,2005-02-26,February
1610,2005-02-22,2005.0,Provoked,USA,Florida,"Long Key, Monroe County",Spearfishing,M,,Speared shark bit his chest PROVOKED INCIDENT,N,,"Nurse shark, 3' ",2005-02-22,2005-02-22,February
1611,2005-02-16,2005.0,Unprovoked,USA,Hawaii,"Rocky Point, north shore of O'ahu",Surfing,M,,"No injury, knocked off board, shark bit board",N,14h30,"Tiger shark, 2.4 m [8']",2005-02-16,2005-02-16,February
1612,2005-02-13,2005.0,Unprovoked,USA,Florida,Fort Lauderdale,Spearfishing,M,,Hand bitten,N,,1.8 m [6'] Caribbean reef shark,2005-02-13,2005-02-13,February
1613,2005-02-04,2005.0,Unprovoked,BRAZIL,Bahia,Ilhéus,Surfing,M,12,Right thigh & ankle injured,N,,,2005-02-04,2005-02-04,February
1614,2005-01-20,2005.0,Unprovoked,CUBA,Santiago de Cuba Province,Uvero,Swimming,M,19,Left foot severed,N,,3 m [10'] shark,2005-01-20,2005-01-20,January
1615,2005-01-19,2005.0,Provoked,AUSTRALIA,Victoria,Port Phillip Bay,Spearfishing,M,,No injury. Towed by speared shark PROVOKED INCIDENT,N,,3 m shark,2005-01-19,2005-01-19,January
1616,2005-01-14,2005.0,Provoked,AUSTRALIA,Victoria,Blairgowrie,Attempting to drive shark away from sailing regatta,,,"No injury to occupants, one of the boat's flotation tanks holed PROVOKED INCIDENT",N,14h00,"Bronze whaler shark, 2 m to 3 m [6.75' to 10']  ",2005-01-14,2005-01-14,January
1617,2005-01-08,2005.0,Boating,NEW ZEALAND,North Island,Taupiri Bay,Fishing from a kayak,M,39,"No injury, kayak bumped repeatedly",N,12h00,White shark,2005-01-08,2005-01-08,January
1618,2004-12-26,2004.0,Invalid,SRI LANKA,Eastern Province,Pasikudha,"Swept out to sea by the tsunami, she clung  to a log for 24 hours",F,11,No injury,,,No shark involvement,2004-12-26,2004-12-26,December
1619,2004-12-16,2004.0,Unprovoked,AUSTRALIA,South Australia,"West Beach, Adelaide",Scurfing (surfboard being  towed behind a boat),M,18,FATAL,Y,15h15,4.5 m & 5 m white shark ,2004-12-16,2004-12-16,December
1620,2004-12-11,2004.0,Unprovoked,AUSTRALIA,Queensland,Opal Reef,Spearfishing,M,38,"FATAL, leg bitten",Y,13h00,Bull shark,2004-12-11,2004-12-11,December
1621,2004-11-27,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,20,3 lacerations on foot,N,18h00,Raggedtooth shark,2004-11-27,2004-11-27,November
1622,2004-11-26,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie,Playing,M,16,Lacerations on lower leg & foot,N,,Raggedtooth shark,2004-11-26,2004-11-26,November
1623,2004-11-15,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",Swimming,F,77,FATAL,Y,07h00,6 m [20'] white shark,2004-11-15,2004-11-15,November
1624,2004-11-11,2004.0,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,,38,"Lacerations to hand, knee & thigh ",N,13h30,5.5 m [18'] white shark,,,November
1625,2004-11-11,2004.0,Unprovoked,VANUATU,Malampa Province,Malakula (Malakula Island),Snorkeling,M,30s,Thigh bitten,N,09h00,,,,November
1626,2004-11-01,2004.0,Unprovoked,NEW CALEDONIA,North Province,Koumac,Diving,,,Forearm bitten,N,,3 m shark,,,November
1627,2004-10-31,2004.0,Unprovoked,CUBA,Camaguey Province,Santa Lucia,Diving,M,40,Left forearm bitten,N,14h00,2.5 m [8.25'] bull shark,2004-10-31,2004-10-31,October
1628,2004-10-30,2004.0,Invalid,NEW ZEALAND,North Island,Whangarei,,,,No injury,,,Invalid,,,October
1629,2004-10-30,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Gansbaai,Chumming for white sharks,M,52,Right ankle & foot lacerated,N,Morning,2 m [6.75'] white shark,,,October
1630,2004-10-21,2004.0,Unprovoked,AUSTRALIA,New South Wales,Stockton Beach,Surfing,M,59,Right foot lacerated,N,Afternoon,"Bronze whaler shark, 2.4 m [8'] ",2004-10-21,2004-10-21,October
1631,2004-10-10,2004.0,Unprovoked,USA,California,"Limantour Beach, Point Reyes National Seashore",Surfing,M,,Lower leg bitten,N,09h30,1.8 m to 2.4 m [6' to 8'] white shark,2004-10-10,2004-10-10,October
1632,2004-10-09,2004.0,Unprovoked,USA,Hawaii,Moloka'i,Spearfishing,M,34,Left shoulder bitten,N,12h40,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",,,October
1633,2004-10-09,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,Surfing,M,34,Puncture wounds on right foot,N,Morning,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",,,October
1634,2004-10-06,2004.0,Unprovoked,REUNION,Conservatória District,"P' tit Paris, Saint-Pierre",Body boarding,M,15,"Leg severely bitten, surgically amputated",N,16h15,Thought to involve a 2.5 m bull or tiger shark,2004-10-06,2004-10-06,October
1635,2004-10-02,2004.0,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",Surfing,M,16,"No injury, knocked off surfboard",N,15h30,,2004-10-02,2004-10-02,October
1636,2004-10-01,2004.0,Unprovoked,USA,California,"Lifeguard Tower 16, Huntington Beach, Orange County",Surfing,M,40,"No injury, shark struck board & spun it around",N,14h00,,2004-10-01,2004-10-01,October
1637,2004-09-25,2004.0,Boat,AUSTRALIA,Queensland,Batt Reef,Spearfishing/ filming,,,"No injury to occupants, boat damaged",N,12h00,"Tiger shark, 3 m [10'] ",2004-09-25,2004-09-25,September
1638,2004-09-20,2004.0,Unprovoked,USA,Oregon,Gold  Beach,Surfing,M,26,Leg bitten,N,09h00,White shark,2004-09-20,2004-09-20,September
1639,2004-09-10,2004.0,Invalid,USA,Texas,South Padre Island,Surf fishing,M,,Minor scratch on calf,,Between 05h00 and 08h00,Shark involvement questionable,2004-09-10,2004-09-10,September
1640,2004-09-08,2004.0,Unprovoked,BRAZIL,Pernambuco,"Pina, Recife",Swimming,,,FATAL,Y,,,2004-09-08,2004-09-08,September
1641,2004-09-04,2004.0,Unprovoked,USA,South Carolina ,"North of Apache Pier, Myrtle Beach, Horry County",Jumping,F,17,Left knee & leg bitten,N,15h40,2.4 m [8'] shark,2004-09-04,2004-09-04,September
1642,2004-08-29,2004.0,Unprovoked,USA,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Walking,F,38,Heel bitten,N,17h30,,2004-08-29,2004-08-29,August
1643,2004-08-21,2004.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Bathing,M,24,Calf bitten & both hands injured,N,13h00,"Tiger shark, 1.5 m ",2004-08-21,2004-08-21,August
1644,2004-08-20,2004.0,Unprovoked,USA,California,"204s, San Clemente, Orange County",Surfing,M,,Foot bitten,N,17h30,0.9 m to 1.2 m [3' to 4'] white shark,2004-08-20,2004-08-20,August
1645,2004-08-15,2004.0,Unprovoked,USA,California,"Kibesillah, Mendocino County",Diving,M,50,FATAL,Y,16h00,4.9 m to 5.5 m [16' to 18'] white shark,2004-08-15,2004-08-15,August
1646,2004-08-06,2004.0,Unprovoked,USA,Florida,"Big Bayou, St. Petersburg, Pinellas County ",Swimming,M,47,"Back, buttocks, left hand & left side of face bitten",N,20h30,1.2 m [4'] shark,2004-08-06,2004-08-06,August
1647,2004-08-03,2004.0,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Spearfishing,M,30,Minor puncture wounds to leg,N,14h00,,2004-08-03,2004-08-03,August
1648,2004-08-01,2004.0,Boat,SOUTH AFRICA,KwaZulu-Natal,Park Rynie,Fishing,,,No injury to occupants; boat damaged,N,,3 m to 4 m [10' to 13']  white shark,,,August
1649,2004-07-31,2004.0,Unprovoked,USA,Florida,"Cocoa  Beach, Brevard County",Surfing,F,20,Right foot bitten,N,13h00,,2004-07-31,2004-07-31,July
1650,2004-07-30,2004.0,Unprovoked,RUSSIA,Kuril Islands in the Pacific,"Kunashir Island, 70 km from northern Japan",Diving & fishing with net,M,,Thigh & calf bitten,N,,White shark,2004-07-30,2004-07-30,July
1651,2004-07-28,2004.0,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Surfing,F,28,Right calf bitten,N,17h30,,2004-07-28,2004-07-28,July
1652,2004-07-27,2004.0,Unprovoked,USA,North Carolina,"Carolina Beach, New Hanover County",Swimming,F,13,Right forearm & wrist lacerated,N,17h00,1.8 m [6'] shark,,,July
1653,2004-07-27,2004.0,Unprovoked,USA,Texas,Galveston Island,Swimming,F,19,Right foot bitten,N,16h30,1.2 m to 1.5 m [4' to 5'] shark,,,July
1654,2004-07-25,2004.0,Unprovoked,USA,Texas,"Bryan Beach, Brazoria County",Wading / fishing & carrying a bag of fish,M,11,Right forearm nearly severed and bites above & below the right knee,N,19h30,Bull shark,2004-07-25,2004-07-25,July
1655,,2004.0,Boating,AUSTRALIA,Western Australia,"7 km off Trigg surf beach, Perth",Fishing,,,"No injury to occupants; shark mouthed motor, severed anchor line",N,,4 m [13'] white shark,,,
1656,2004-07-15,2004.0,Unprovoked,JAPAN,Wakayama Prefecture,Susami,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,M,51,Suffered broken ribs when the shark's tail fin slammed into his chest,N,,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] ",2004-07-15,2004-07-15,July
1657,2004-07-10,2004.0,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders Beach, Margaret River",Surfing,M,30,"FATAL, abdomen, pelvis & leg bitten      ",Y,14h10,"2 sharks, 4.5 m & 3 m ",2004-07-10,2004-07-10,July
1658,2004-07-02,2004.0,Unprovoked,EGYPT,Sinai Peninsula,The lagoon at Dahab,Snorkeling,F,Teen,Hand severed,N,,"""black tipped"" shark",,,July
1659,2004-07-02,2004.0,Unprovoked,USA,Alabama,"Gulf Shores Beach, Baldwin County",Wading,M,7,Right foot lacerated,N,16h40,4' to 5' shark,,,July
1660,2004-06-26,2004.0,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,45,"No injury, shark struck his board",N,09h00,"9'2"" white shark",,,June
1661,2004-06-26,2004.0,Invalid,AUSTRALIA,Western Australia,Floreat Beach,Crayfishing,M,,"No injury, shark made threat displays & diver fended it off with his speargun",,,Invalid,,,June
1662,2004-06-14,2004.0,Unprovoked,USA,Florida,"Disney / Vero Beach, Indian River County",In water with diving seabirds,F,,Foot bitten,N,,,2004-06-14,2004-06-14,June
1663,2004-06-10,2004.0,Unprovoked,AUSTRALIA,Western Australia,Bunbury,Body boarding,M,17,Ankle & foot lacerated,N,Late afternoon,"Bronze whaler shark, 2.5 m [8.25'] ",,,June
1664,2004-06-10,2004.0,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,8,Right wrist  & left arm lacerated,N,18h00,1.2 m [4'] shark,,,June
1665,2004-06-02,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching perlemoen",M,21,"FATAL, leg severed ",Y,15h00,White shark,2004-06-02,2004-06-02,June
1666,2004-05-29,2004.0,Unprovoked,USA,Texas,"Pirate's Beach, Galveston Island",Wading,M,16,Puncture wounds on shin,N,19h45,0.9 m to 1.5 m [3' to 5'] shark,2004-05-29,2004-05-29,May
1667,2004-05-23,2004.0,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Swimming,M,17,"Left hand, foot severed &  left calf & arm bitten",N,14h30,Bull shark,,,May
1668,2004-05-28,2004.0,Unprovoked,USA,California,"Salmon Creek, Sonoma County",Surfing,M,44,No injury,N,11h00,2.4 m to 3.7 m [8' to 12'] shark,2004-05-28,2004-05-28,May
1669,2004-05-23,2004.0,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Boogie-boarding / swimming,M,9,Calf & foot lacerated,N,12h30,,,,May
